Dev ID,AI Interview completed date,Country,Job role,Resume Skills,AI vetted skills,AI Soft Skills Result,AI Coding test result,AI Proctoring score,Human Interview passed,Gender
1057,01/06/23 12:09,Nigeria,Null,Null,Figma: 9/10 | Illustration: 9/10 | Animation: 8/10,09-Oct,Null,100,TRUE,Male
4492,01/08/23 4:03,Nigeria,Null,Null,ETL: 9/10 | Database: 3/10,09-Oct,Null,Null,TRUE,Male
4547,01/08/23 19:38,Brazil (Brasil),Null,Null,WordPress: Expert | HTML/CSS: Mid-level | Leadership: Mid-level,Excellent,Null,96,TRUE,Male
4486,01/08/23 23:59,Brazil (Brasil),Null,Null,WordPress: Mid-level | HTML: Mid-level | CSS: Mid-level,Good,Null,Null,TRUE,Male
5952,01/09/23 6:41,Null,Null,Null,React: Senior | NodeJs: Senior | Python: Mid-level,Good,Null,100,TRUE,Male
5954,01/09/23 7:20,Ireland,Null,Null,react native: Mid-level,Good,Null,100,TRUE,Male
5979,01/09/23 14:56,Null,Null,Null,Haskell: Senior | SQL: Mid-level | Kubernetes: Mid-level,Excellent,Null,100,TRUE,Male
5981,01/09/23 15:57,Null,Null,Null,Bubble: Mid-level | UI/UX: Mid-level | Flowise: Not experienced,Good,Null,100,TRUE,Male
5987,01/09/23 20:39,Null,CUSTOM,Null,React: Mid-level | React Native: Senior | Node: Mid-level,Average,Null,98,Null,Not determined
9286,01/10/23 3:39,Canada,Null,Null,javascript: Senior,Average,Null,75,TRUE,Male
11463,01/11/23 7:40,Azerbaijan (Azərbaycan),Null,Null,Figma: Not experienced | Benchmarking: Not experienced | High Fi: Not experienced | Prototyping: Not experienced,Below average,Null,Null,Null,Not determined
11481,01/11/23 7:49,Pakistan,Null,Null,Data Science: Junior,Below average,Null,100,TRUE,Male
11666,01/11/23 15:01,Kenya,Null,Null,ReactJS: Junior | React Native: Mid-level | NodeJS: Mid-level,Good,Mid-level,Null,TRUE,Male
11711,01/11/23 17:06,Dominican Republic,Null,Null,JavaScript: Mid-level | TypeScript: Mid-level | Django: Mid-level | Next.js: Mid-level | Node.js: Junior,Average,Null,100,TRUE,Male
11713,01/11/23 17:30,United States,Null,Null,React.js: Mid-level | React Native: Mid-level | Node.js: Mid-level | Express: Junior | AWS: Senior,Good,Senior,Null,TRUE,Male
11726,01/11/23 18:03,Nigeria,Null,Null,ui design: Not experienced | project management: Not experienced | design principles: Not experienced or Junior,Null,Null,79,Null,Not determined
11777,01/11/23 20:57,France,Null,Null,UX designer: Junior | UI designer: Junior | Product designer: Mid-level,Below average,Null,Null,Null,Not determined
11781,01/11/23 21:39,Nigeria,Null,Null,Figma: Mid-level | User experience research: Mid-level | User interface: Junior | Data analysis: Junior | Project management: Junior,Good,Null,60,Null,Male
13335,01/12/23 9:28,Nigeria,Null,Null,Technical writing: Junior,Excellent,Null,Null,TRUE,Female
13703,01/12/23 17:50,Indonesia,Null,Null,Data Science: Mid-level | Machine Learning: Senior | Deep Learning: Junior | Python: Senior | SQL: Mid-level,Average,Junior,55,Null,Male
1120,02/06/23 13:08,Pakistan,Null,Null,Figma: 8/10 | UI/UX Design: 7/10 | Illustrator: 9/10,08-Oct,Null,53,TRUE,Male
4579,02/08/23 14:21,Pakistan,Null,Null,Python: Expert | React: Mid-level | Django: Mid-level,Good,Null,100,TRUE,Male
6000,02/09/23 5:51,Null,Null,Null,Bubble.io: Mid-level | html: Junior | css: Junior,Below average,Null,100,TRUE,Male
5963,02/09/23 10:05,Null,Null,Null,Bubble.io: Senior | NestJS: Mid-level | Project management: Mid-level,Good,Null,65,TRUE,Male
9375,02/10/23 17:52,Zambia,Null,Null,React.js: Senior | Node.js: Not experienced | Javascript: Mid-level,Good,Null,71,Null,Male
11839,02/11/23 8:15,United States,Null,Null,Python: Mid-level | React: Mid-level,Average,Senior,95,TRUE,Not determined
11783,02/11/23 15:51,France,Null,Null,UI/UX design: Junior | UX research: Mid-level | Graphic design: Mid-level | Figma: Junior | Adobe XD: Junior,Excellent,Null,Null,Null,Female
11925,02/11/23 16:30,Germany (Deutschland),Null,Null,"User Experience Design (user flow, persona, interview, google analytics): Mid-level | User Interface Design (Sketch, Adobe photoshop/illustrator/aftereffect): Mid-level | Design Thinking Process: Junior",Excellent,Null,99,Null,Female
11937,02/11/23 20:38,United States,Null,Null,Python: Mid-level | React.js: Mid-level,Good,Mid-level,99,TRUE,Male
3230,02/12/23 12:06,Brazil,Null,Null,React: Senior,Average,Null,Null,TRUE,Not determined
3240,03/07/23 6:56,India,Null,Null,Monday project management tool: 8/10,08-Oct,Null,Null,TRUE,Male
4603,03/08/23 5:31,Dominican Republic,Null,Null,WordPress: Mid-level | HTML/CSS: Mid-level | Leadership: Mid-level,Good,Null,100,TRUE,Male
6028,03/09/23 7:54,Null,Null,Null,Python: Junior | React: Junior | Node.js: Junior,Excellent,Null,74,TRUE,Male
9434,03/10/23 6:33,Peru (Perú),Null,Null,Golang: Mid-level | Python: Junior | CICD: Senior,Average,Null,83,Null,Male
9451,03/10/23 8:52,Null,FullStack (Node.js + React.js),Null,React.js: Expert | Node.js: Junior | Javascript: Senior,Below average,Null,100,TRUE,Male
9545,03/10/23 19:29,Israel,Null,Null,Python: Junior | React: Junior | Aws: Not experienced,Below average,Null,62,Null,Not determined
12011,03/11/23 15:04,Pakistan,Null,Null,React.js: Mid-level | Next.js: Senior | React Native: Mid-level,Excellent,Mid-level,100,TRUE,Male
3317,04/07/23 6:34,India .,Null,Null,Python: 6/10 | SQL: 7/10 | Django: 4/10,06-Oct,Null,Null,Null,Male
3323,04/07/23 7:17,India .,Null,Null,Python: 4/10 | SQL: 4/10 | Terraform: 7/10 | Django: 4/10 | Docker: 6/10,04-Oct,Null,Null,Null,Male
3298,04/08/23 13:37,Nigeria,Null,Null,OpenAI: Mid-level | Pincecone: Not experienced,Excellent,Null,100,TRUE,Male
6038,04/09/23 0:25,Null,CUSTOM,Null,React Native: Mid-level | React: Junior | Node: Junior,Good,Null,100,Null,Male
6058,04/09/23 14:57,Null,Null,Null,python: Mid-level | django rest framework: Senior | React: Mid-level,Good,Null,99,TRUE,Male
6064,04/09/23 19:22,Null,CUSTOM,Null,React Native: Senior | React: Mid-level | Node: Junior,Good,Null,100,TRUE,Male
9572,04/10/23 3:54,Null,Null,Null,Google ads: Mid-level | Keyword Search: Senior | Search ads: Junior,Below average,Null,Null,Null,Male
9614,04/10/23 12:30,Kenya,Null,Null,Python: Senior | Django: Mid-level | SQL: Mid-level,Excellent,Null,Null,Null,Male
13758,04/12/23 23:04,India .,Null,Null,Figma: Mid-level | UI / UX: Senior | Prototyping: Mid-level,Good,Not experienced,100,Null,Male
1196,05/06/23 11:50,Pakistan,Null,Null,PHP: 6/10 | React: 3/10 | Angular: 7/10,08-Oct,Null,100,Null,Not determined
1229,05/06/23 18:32,Nigeria,Null,Null,Node js: 5/10 | Vue js: 8/10 | Laravel: 4/10,07-Oct,Null,79,Null,Male
3375,05/07/23 4:22,India .,Null,Null,Lead generation: 9/10 | Lead qualification: 5/10 | Lead nurturing: 4/10,08-Oct,Null,Null,Null,Not determined
3377,05/07/23 5:58,India,Null,Null,Web3: 8/10 | React: 9/10 | Tailwind CSS: 7/10,08-Oct,Null,Null,TRUE,Male
3379,05/07/23 6:22,India .,Null,Null,AI: 8/10 | NLP: 9/10 | Python: 4/10,07-Oct,Null,Null,TRUE,Male
3395,05/07/23 13:56,India .,Null,Null,Client Handling: 8/10 | Relation Building: 9/10 | Lead Generation: 8/10,09-Oct,Null,Null,TRUE,Male
4675,05/08/23 4:21,Null,Senior Smart Contract Developer,Null,DeFi: Mid-level | Solidity: Mid-level | Blockchain: Mid-level,Average,Null,100,Null,Male
4692,05/08/23 17:27,Null,Marketing Analyis ( SEO ),Null,SEO: Expert | Paid Media: Mid-level,Good,Null,87,Null,Female
4697,05/08/23 19:50,Null,Null,Null,SEO : Expert | Paid Media: Mid-level | Content Marketing: Mid-level,Good,Null,96,TRUE,Not determined
6079,05/09/23 2:09,Null,CUSTOM,Null,React: Mid-level | React Native: Mid-level | Node: Junior,Below average,Null,100,Null,Male
6084,05/09/23 2:47,Null,Null,Null,Drupal: Mid-level | Drupal 9: Mid-level | CMS: Mid-level,Good,Null,72,TRUE,Male
6104,05/09/23 7:24,Null,Null,Null,Haskell: Mid-level | Kafka: Mid-level | Postgresql: Mid-level,Good,Null,100,TRUE,Male
6117,05/09/23 11:16,Null,CUSTOM,Null,React: Senior | React Native: Senior,Below average,Null,97,Null,Male
6131,05/09/23 14:02,United States,Null,Null,Bubble.io: Senior | SQL: Mid-level | Javascript: Mid-level,Good,Null,97,TRUE,Male
6144,05/09/23 17:13,Null,CUSTOM,Null,React Native: Senior | Mobile development: Senior,Average,Null,15,Null,Male
9693,05/10/23 12:48,Pakistan,Null,Null,React Native: Junior | ReactJS: Junior | NodeJS: Not experienced,Below average,Null,Null,Null,Male
9713,05/10/23 19:24,Bolivia,Null,Null,React: Junior | Python: Junior | AWS: Junior,Below average,Null,Null,Null,Male
11202,05/11/23 5:38,Pakistan,Null,Null,React: Mid-level | Next: Senior | Node: Mid-level | Typescript: Mid-level | Nest: Mid-level,Excellent,Null,82,TRUE,Male
12229,05/11/23 15:57,Austria,Null,Null,Prototyping: Junior | Wireframing: Junior | UX: Mid-level,Below average,Null,84,Null,Female
13777,05/12/23 13:15,Nigeria,Null,Null,Javascript: Mid-level | React Js: Mid-level | Node js: Mid-level,Good,Mid-level,100,TRUE,Male
1253,06/06/23 7:51,Ethiopia,Null,Null,Angular: 7/10 | React: 8/10 | Typescript: 8/10,08-Oct,Null,100,TRUE,Female
1304,06/06/23 18:36,Mexico (México),Null,Null,AWS DevOps: 8/10 | AWS Data Migration: 2/10 | FSx: 3/10,08-Oct,Null,100,TRUE,Male
3431,06/07/23 10:37,Nigeria,Null,Null,Python: 8/10 | Pytorch : 5/10,06-Oct,Null,62,TRUE,Male
4712,06/08/23 14:26,El Salvador,Null,Null,React Native: Expert | JavaScript: Junior | Redux: Mid-level,Below average,Null,22,TRUE,Male
6158,06/09/23 0:46,Null,CUSTOM,Null,Agile methodologies: Mid-level | Customer Management: Mid-level | Leadership: Mid-level,Below average,Null,79,Null,Male
6159,06/09/23 0:52,Null,Backend (Crypto),Null,Blockchain: Mid-level | Ruby on Rails: Mid-level | Crypto native technologies: Not experienced | Cryptocurrency: Mid-level,Good,Null,78,TRUE,Male
6160,06/09/23 13:11,Null,CUSTOM,Null,React: Mid-level | Node: Mid-level | React Native: Mid-level,Excellent,Null,Null,TRUE,Male
6220,06/09/23 18:06,Null,CUSTOM,Null,Leadership: Senior | Agile methodologies: Senior | Customer management: Senior,Average,Null,99,Null,Female
9736,06/10/23 7:34,India,Null,Null,FastApi: Mid-level,Good,Null,53,TRUE,Male
9665,06/10/23 10:34,India .,Null,Null,HTML: Junior | CSS: Junior | React: Not experienced | Javascript: Not experienced,Below average,Null,Null,Null,Female
9749,06/10/23 11:42,India,Null,Null,Fast API: Mid-level,Good,Null,55,TRUE,Female
11899,06/11/23 8:47,North Macedonia,Null,Null,Figma: Junior | Adobe XD: Junior | Photoshop: Junior,Good,Null,100,Null,Male
12364,06/11/23 13:10,Ukraine,Null,Null,Next.js: Not experienced | React: Junior | TailwindCSS: Junior,Below average,Null,89,Null,Male
1320,07/06/23 12:49,Brazil (Brasil),Null,Null,Angular: 4/10 | React: 7/10 | Typescript: 7/10,08-Oct,Null,100,TRUE,Male
1322,07/06/23 14:04,Nigeria,Null,Null,Angular: 6/10 | React: 7/10 | Typescript: 8/10,08-Oct,Null,98,Null,Male
4719,07/08/23 1:12,Mexico,Null,Null,Ruby on Rails: Mid-level | PostgreSQL: Junior | TypeSript: Mid-level,Good,Null,100,TRUE,Male
4770,07/08/23 21:06,Null,Sr Ruby on Rails,Null,Ruby on rails: Junior | Ruby: Mid-level,Good,Null,92,TRUE,Male
6249,07/09/23 0:45,Null,CUSTOM,Null,Leadership: Senior | Agile methodologies: Senior | Customer management: Senior,Good,Null,97,TRUE,Male
6277,07/09/23 10:55,Null,CUSTOM,Null,React: Mid-level | React Native: Senior | Node: Mid-level,Below average,Null,79,Null,Male
6300,07/09/23 16:59,Null,Backend Developer (Crypto Space),Null,Ruby on Rails: Mid-level | ReactJS : Mid-level | Rust : Mid-level | Solidity: Junior,Below average,Null,100,Null,Male
6303,07/09/23 17:57,Null,CUSTOM,Null,React Native: Senior | Node: Senior | React: Mid-level,Average,Null,95,Null,Female
6305,07/09/23 18:16,Bangladesh,Null,Null,React: Senior,Average,Null,100,TRUE,Male
12556,07/11/23 15:33,Brazil,Null,Null,C#: Mid-level | Programming: Mid-level | SQL: Mid-level,Excellent,Not experienced,100,TRUE,Male
12594,07/11/23 21:08,Kenya,Null,Null,Java: Not experienced | Python: Mid-level,Excellent,Junior,87,TRUE,Male
12596,07/11/23 21:21,Argentina,Null,Null,React.js: Junior | Javascript: Not experienced | Technical writing: Not experienced,Below average,Junior,Null,Null,Male
13842,07/12/23 17:29,Honduras,Null,Null,Nest.js: Junior | Serverless Applications: Junior | Blockchain Infrastructure: Junior | Authentication and Authorization: Junior,Below Average,Senior,2,Null,Male
13843,07/12/23 18:32,Nigeria,Null,Null,React: Mid-level | Node: Mid-level | Technical Writing: Senior,Good,Not experienced,Null,Null,Male
1398,08/06/23 20:36,Colombia,Null,Null,.Net Core: 8/10 | SQL: 8/10 | Microservices: 5/10,08-Oct,Null,77,TRUE,Male
3498,08/07/23 21:25,India .,Null,Null,Python: 7/10 | SQL: 7/10 | Machine Learning: 5/10,07-Oct,Null,100,TRUE,Not determined
4788,08/08/23 5:04,Null,Sr Ruby on Rails,Null,Ruby on rails: Mid-level | Ruby: Mid-level,Excellent,Null,100,TRUE,male
4799,08/08/23 11:55,Null,Founding Engineer,Null,C++: Not experienced | Python: Mid-level | leadership: Expert,Below average,Null,98,TRUE,Male
4800,08/08/23 13:32,Brazil,Null,Null,react native: Junior,Below average,Null,22,TRUE,Male
4812,08/08/23 20:25,Null,Ruby on rails,Null,Ruby on Rails: Mid-level | Ruby: Expert,Average,Null,100,Null,Male
